role_id,role_name,module_id,module_code,module_name,screen_view,tab_view,field_view,create,update,submit,return_for_fix,approve,reject,cancel,reverse,delete_draft,export,print,grant_permission,override_cap,scope_proposed,derivation
1,"ادارة التشغيل",1,Clients/clients.php,العملاء,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",2,Projects/projects.php,المشاريع,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",3,main/users.php,الصلاحيات,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",4,Reports/reports.php,"مركز التقارير",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",5,Equipments/equipments_types.php,"أنواع المعدات",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",6,Reports/reports.php,"مركز التقارير",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",7,Employees/employees.php,الموظفون,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",8,Equipments/equipments_fleet.php,المعدات,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",9,Oprators/oprators.php,"شاشة التشغيل",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",10,Timesheet/timesheet_type.php,"تسجيل الوحدات",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",11,Settings/settings.php,الإعدادات,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",12,ActivityLogs/activity_logs.php,"سجل النشاط",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",14,main/project_users.php,"مشرفو الموردين",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",15,main/project_users.php,المشرفين,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",16,main/project_users.php,المشرفين,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",17,main/project_users.php,"إدارة المعاونين",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",18,main/project_users.php,المشرفين,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",20,Contracts/contracts.php,العقود,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",21,Contracts/contracts_details.php,"ملف عقد المشروع",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",22,Suppliers/suppliers.php,الموردون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",23,Oprators/select_project.php,التشغيل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",24,Settings/settings.php,الإعدادات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",25,Suppliers/supplierscontracts.php,"عقود الموردين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",26,Suppliers/supplierscontracts_details.php,"ملف عقد المورد",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",27,Equipments/equipments_drivers.php,المعدات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",28,Reports/reports.php,"مركز التقارير",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",29,movement/project_drivers.php,"توزيع المشغّلين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",30,movement/movement_operations.php,الورديات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",31,Reports/reports.php,"مركز التقارير",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",32,Reports/reports.php,"مركز التقارير",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",34,movement/map_page.php,"متابعة المشروع",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",35,Clients/clients.php,العملاء,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",36,Projects/projects.php,المشاريع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",37,Contracts/contracts.php,العقود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",38,Equipments/manage_failure_codes.php,"تصنيفات الأعطال",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",40,Equipments/fleet_models.php,"الأنواع والموديلات",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",41,Equipments/fleet_depreciation_profiles.php,"إعداد الإهلاك",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
1,"ادارة التشغيل",42,Maintenance/breakdowns.php,"البلاغات (غير مفعّلة)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",43,Maintenance/orders.php,"أوامر الصيانة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",44,Maintenance/inspections.php,"الفحص الفني اليومي",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",45,Maintenance/preventive_plans.php,"الصيانة الوقائية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",46,Maintenance/master_data.php,"إعدادات الصيانة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",47,Workforce/worker_register.php,"السجل التشغيلي للعامل",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",48,Workforce/worker_contract.php,"عقود العاملين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",50,Workforce/worker_leave_absence.php,"الإجازات والغياب",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",51,Workforce/worker_movement.php,"تنقلات العاملين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",52,Workforce/housing_units.php,"السكن والإعاشة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",53,Workforce/worker_evaluation.php,"تقييم الأداء",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",54,Workforce/worker_settlement.php,"تسويات العاملين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",55,Workforce/workforce_requirement.php,"احتياج القوى والتخطيط",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",56,Workforce/worker_worklog.php,"سجل الأحداث التشغيلية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",57,Employees/job_titles.php,"المسميات الوظيفية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
1,"ادارة التشغيل",58,Employees/employee_roles.php,"الأدوار الوظيفية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
