screen,label,n,p50_ms,p95_ms,max_ms,http_codes,measured_at
Contracts/contracts.php,"عقود العملاء (41 عمودًا)",8,96,118,178,"{""200"":8}","2026-08-06 21:09"
Finance/cfo_daily_board_fin.php,"لوحة المدير المالي",8,353,390,414,"{""200"":8}","2026-08-06 21:09"
Equipments/equipments.php,"سجل المعدات (46 عمودًا)",8,128,148,162,"{""200"":8}","2026-08-06 21:09"
Finance/journal_form_fin.php,"القيود اليومية (39 عمودًا)",8,137,175,202,"{""200"":8}","2026-08-06 21:09"
Finance/payments_fin.php,"طلبات الدفع والسداد",8,80,117,150,"{""200"":8}","2026-08-06 21:09"
