nav_id,role_id,role_name,door,group_id,label_ar,route,sort,active,module_id,module_code
473,7,"مشرف - مشاريع",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
94,7,"مشرف - مشاريع",REC,,العملاء,Clients/clients.php,10,1,1,Clients/clients.php
95,7,"مشرف - مشاريع",REC,,المشاريع,Projects/projects.php,20,1,2,Projects/projects.php
101,7,"مشرف - مشاريع",REC,,العقود,Contracts/contracts.php,30,1,20,Contracts/contracts.php
105,7,"مشرف - مشاريع",REC,,"المعاملات المالية",Finance/events_list_fin.php,40,1,86,Finance/events_list_fin.php
618,7,"مشرف - مشاريع",REC,,"قراءات العدّادات",Equipments/meter_readings.php,54,1,155,Equipments/meter_readings.php
99,7,"مشرف - مشاريع",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
108,7,"مشرف - مشاريع",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,20,1,92,Finance/cost_report_fin.php
96,7,"مشرف - مشاريع",SET,,الصلاحيات,main/users.php,10,1,3,main/users.php
97,7,"مشرف - مشاريع",SET,,"أنواع المعدات",Equipments/equipments_types.php,20,1,5,Equipments/equipments_types.php
98,7,"مشرف - مشاريع",SET,,"سجل النشاط",ActivityLogs/activity_logs.php,30,1,12,ActivityLogs/activity_logs.php
100,7,"مشرف - مشاريع",SET,,الإعدادات,Settings/settings.php,40,1,11,Settings/settings.php
113,8,"مشرف موردين",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,10,1,114,FinRequests/request_form.php
114,8,"مشرف موردين",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,20,1,115,FinRequests/my_requests.php
116,8,"مشرف موردين",DAILY,,"المدفوعات والخزينة",Finance/payments_fin.php,30,1,91,Finance/payments_fin.php
474,8,"مشرف موردين",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
109,8,"مشرف موردين",REC,,الموردون,Suppliers/suppliers.php,10,1,22,Suppliers/suppliers.php
110,8,"مشرف موردين",REC,,"مشرفو الموردين",main/project_users.php,20,1,14,main/project_users.php
112,8,"مشرف موردين",REC,,"عقود الموردين",Suppliers/supplierscontracts.php,30,1,25,Suppliers/supplierscontracts.php
111,8,"مشرف موردين",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
115,8,"مشرف موردين",REP,,"كشف حساب المورد",Finance/supplier_statement_fin.php,20,1,106,Finance/supplier_statement_fin.php
117,8,"مشرف موردين",SET,,الإعدادات,Settings/settings.php,10,1,11,Settings/settings.php
126,10,"مشرف اسطول",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,10,1,105,Finance/unit_records_fin.php
121,10,"مشرف اسطول",DAILY,,التشغيل,Oprators/select_project.php,10,1,23,Oprators/select_project.php
124,10,"مشرف اسطول",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,20,1,114,FinRequests/request_form.php
