file	data_no_dt	no_datatable	kind	tables
Tickets/intake_classify.php	1	0	frozen	1
Tickets/ticket_categories_config.php	0	1	manual	1
Tickets/ticket_dashboard.php	0	7	manual	7
Tickets/ticket_escalation_config.php	0	1	manual	1
Tickets/ticket_form.php	0	2	frozen	2
Tickets/ticket_recurrence.php	0	1	manual	1
Tickets/ticket_sla_config.php	0	1	manual	1
Tickets/ticket_types_config.php	0	1	manual	1
Tickets/ticket_workstreams_board.php	1	0	frozen	1
Tickets/tickets_list.php	0	1	manual	1
Tickets/watchtower.php	1	0	frozen	1
Timesheet/timesheet_details.php	2	0	frozen	2
Transport/transfer_arrival.php	1	0	frozen	1
Transport/transfer_close_cost.php	1	0	frozen	1
Transport/transfer_cost_rules_config.php	0	1	manual	1
Transport/transfer_in_transit.php	1	0	frozen	1
Transport/transfer_order_form.php	0	4	frozen	4
Transport/transfer_orders_list.php	0	1	manual	1
Transport/transfer_requests.php	0	1	manual	1
Transport/transfer_tariffs.php	1	1	frozen	2
Transport/transfer_types_config.php	0	1	manual	1
Transport/trs_locations_config.php	0	1	manual	1
Workforce/contract_registry.php	0	7	manual	5
Workforce/deductions.php	1	0	frozen	2
Workforce/final_settlement.php	1	1	frozen	3
Workforce/proposed_deductions.php	1	0	frozen	1
Workforce/recruitment_pipeline.php	1	0	frozen	1
admin/ops_manager_board.php	1	0	frozen	1
admin/org_assignments.php	1	0	frozen	2
admin/org_permits.php	1	0	frozen	2
admin/sec_employee_wizard.php	1	0	frozen	1
admin/sec_governance.php	3	0	frozen	3
includes/related_tickets_tab.php	1	0	frozen	1
main/soon.php	1	0	frozen	1
movement/movement_operations.php	0	2	frozen	2
user_capacities.php	1	0	frozen	2
