id	name	code	owner_role_id	is_link	is_quick
111	موافقات الترحيل	Transport/transfer_requests.php	23	1	1
112	أوامر الترحيل	Transport/transfer_orders_list.php	23	1	1
113	لوحة الرحلات	Transport/transfer_dashboard.php	23	1	1
114	طلب مالي جديد	FinRequests/request_form.php	13	1	0
115	طلباتي المالية	FinRequests/my_requests.php	13	1	0
116	موافقات إدارتي	FinRequests/dept_inbox.php	13	1	0
117	مكتب المحاسب	FinRequests/accountant_desk.php	18	1	0
118	الطلبات المالية	FinRequests/finance_gateway.php	17	1	0
119	سجل الحركة المالية	FinRequests/effect_map.php	17	1	0
120	قواعد توجيه الطلبات	FinRequests/routing_admin.php	17	1	0
121	زمن دورة الطلبات	FinRequests/cycle_time_board.php	17	1	0
122	تقارير الطلبات المالية	FinRequests/requests_reports.php	17	1	0
123	صلاحيات الأدوار	Settings/role_permissions.php	15	0	0
124	الأدوار	Settings/roles.php	15	0	0
125	متابعة الانحراف	Finance/variance_monitor_fin.php	17	1	0
126	قواعد مخصص الصيانة	Finance/maintenance_provision_fin.php	17	1	0
127	التزامات العقود	Clients/contract_commitments.php	12	1	0
128	قواعد مستحقات المشغّلين	Finance/operator_pay_fin.php	17	1	0
129	جاهزية العروض	Clients/readiness_lines.php	12	1	0
130	إعداد أنواع البلاغات	Tickets/ticket_types_config.php	24	1	0
131	تصنيفات الأعطال والبلاغات	Tickets/ticket_categories_config.php	24	1	0
132	البلاغات	Tickets/tickets_list.php	24	1	0
133	تسجيل بلاغ	Tickets/ticket_form.php	24	0	0
134	أزمنة الاستجابة والإنجاز	Tickets/ticket_sla_config.php	24	1	0
135	سلّم التصعيد	Tickets/ticket_escalation_config.php	24	1	0
136	البلاغات الدورية	Tickets/ticket_recurrence.php	24	1	0
137	أداء البلاغات	Tickets/ticket_dashboard.php	24	1	0
